Timestamp,Raw,Attention,Meditation,delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma
2022-05-24T13:38:28.719476,40,44,67,32765,72845,49712,31464,15563,10509,4463,2495
2022-05-24T13:38:29.221026,34,44,67,32765,72845,49712,31464,15563,10509,4463,2495
2022-05-24T13:38:29.721995,92,48,74,37916,32307,13059,21376,14637,12981,6820,2457
2022-05-24T13:38:30.223246,9,48,74,37916,32307,13059,21376,14637,12981,6820,2457
2022-05-24T13:38:30.724789,-13,64,74,2311904,261297,85344,13055,70354,64404,29966,13350
2022-05-24T13:38:31.226114,100,64,74,2311904,261297,85344,13055,70354,64404,29966,13350
2022-05-24T13:38:31.727470,250,70,75,149210,28230,27088,18063,13365,7622,9071,2516
2022-05-24T13:38:32.228711,-50,70,75,149210,28230,27088,18063,13365,7622,9071,2516
2022-05-24T13:38:32.729961,6,93,70,332684,29785,37832,18410,20519,50494,12985,8321
2022-05-24T13:38:33.231230,243,93,70,332684,29785,37832,18410,20519,50494,12985,8321
2022-05-24T13:38:33.732490,331,87,60,216416,407399,49433,43763,143004,51946,35281,28721
2022-05-24T13:38:34.233816,3,87,60,216416,407399,49433,43763,143004,51946,35281,28721
2022-05-24T13:38:34.735070,93,83,61,138871,9638,3333,500,1692,1638,1221,926
2022-05-24T13:38:35.236523,181,83,61,138871,9638,3333,500,1692,1638,1221,926
2022-05-24T13:38:35.737754,101,78,43,91322,56920,3159,5985,3440,5013,4465,1361
2022-05-24T13:38:36.238989,42,78,43,91322,56920,3159,5985,3440,5013,4465,1361
2022-05-24T13:38:36.740254,7,63,44,686140,12683,4954,7421,5866,2954,2295,967
2022-05-24T13:38:37.241562,-138,63,44,686140,12683,4954,7421,5866,2954,2295,967
2022-05-24T13:38:37.742781,57,56,50,663559,142358,13272,34400,4893,10066,3883,1664
2022-05-24T13:38:38.243994,150,56,50,663559,142358,13272,34400,4893,10066,3883,1664
2022-05-24T13:38:38.745245,-3,61,56,101258,8615,7694,587,1956,3395,2202,482
2022-05-24T13:38:39.246464,-29,61,56,101258,8615,7694,587,1956,3395,2202,482
2022-05-24T13:38:39.747749,-28,66,60,381366,62272,5953,8598,14157,8326,9180,5729
2022-05-24T13:38:40.249056,13,66,60,381366,62272,5953,8598,14157,8326,9180,5729
2022-05-24T13:38:40.750276,84,57,43,1227575,432121,17415,26271,17636,22524,10577,4067
2022-05-24T13:38:41.251596,37,57,43,1227575,432121,17415,26271,17636,22524,10577,4067
2022-05-24T13:38:41.752835,25,64,43,145164,67960,18254,7552,3320,9270,5690,7346
2022-05-24T13:38:42.254024,180,64,43,145164,67960,18254,7552,3320,9270,5690,7346
2022-05-24T13:38:42.755226,-10,54,29,84513,34695,1186,3198,1925,2980,2786,798
2022-05-24T13:38:43.256483,57,54,29,84513,34695,1186,3198,1925,2980,2786,798
2022-05-24T13:38:43.757784,91,61,44,246260,24304,11508,45198,8471,15735,13845,2365
2022-05-24T13:38:44.258990,125,61,44,246260,24304,11508,45198,8471,15735,13845,2365
2022-05-24T13:38:44.760456,38,57,51,107843,82465,12798,2391,4966,3014,3384,1629
2022-05-24T13:38:45.261803,101,57,51,107843,82465,12798,2391,4966,3014,3384,1629
2022-05-24T13:38:45.763031,66,63,60,57356,44121,45618,23794,10432,20674,21998,3203
2022-05-24T13:38:46.264453,-35,63,60,57356,44121,45618,23794,10432,20674,21998,3203
2022-05-24T13:38:46.765652,10,64,60,1585556,301860,7335,32018,28471,27046,7114,14564
2022-05-24T13:38:47.266942,17,64,60,1585556,301860,7335,32018,28471,27046,7114,14564
2022-05-24T13:38:47.768229,104,54,51,242035,39400,20160,4373,9536,5496,1969,522
2022-05-24T13:38:48.269483,137,54,51,242035,39400,20160,4373,9536,5496,1969,522
2022-05-24T13:38:48.770751,100,60,61,33980,61689,34912,9524,8801,6037,3792,1893
2022-05-24T13:38:49.271972,53,60,61,33980,61689,34912,9524,8801,6037,3792,1893
