Timestamp,Raw,Attention,Meditation,delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma
2022-05-24T17:29:16.507626,-177,64,64,694808,188232,136635,26161,16092,34502,21563,7784
2022-05-24T17:29:17.008921,-181,70,70,1999281,14385,5165,24117,30364,5791,7462,1570
2022-05-24T17:29:17.509930,-233,70,70,1999281,14385,5165,24117,30364,5791,7462,1570
2022-05-24T17:29:18.011138,-561,56,67,1799494,99830,9278,39952,12219,7391,9344,3304
2022-05-24T17:29:18.512358,-23,56,67,1799494,99830,9278,39952,12219,7391,9344,3304
2022-05-24T17:29:19.013576,-298,56,67,672473,7367,8647,3653,1412,5534,4520,1744
2022-05-24T17:29:19.514913,445,56,67,672473,7367,8647,3653,1412,5534,4520,1744
2022-05-24T17:29:20.016182,307,57,50,1296721,27917,5133,2823,11449,5787,14575,2252
2022-05-24T17:29:20.517423,391,57,50,1296721,27917,5133,2823,11449,5787,14575,2252
2022-05-24T17:29:21.018720,204,56,56,1586976,38420,62102,18746,9440,9891,25251,1775
2022-05-24T17:29:21.519954,246,56,56,1586976,38420,62102,18746,9440,9891,25251,1775
2022-05-24T17:29:22.021314,84,56,56,233647,28642,2733,1713,3189,1469,5133,566
2022-05-24T17:29:22.522680,-343,56,56,233647,28642,2733,1713,3189,1469,5133,566
2022-05-24T17:29:23.023917,-189,54,47,425983,33370,7384,5657,9374,6020,7950,1858
2022-05-24T17:29:23.525150,-126,54,47,425983,33370,7384,5657,9374,6020,7950,1858
2022-05-24T17:29:24.026377,-113,61,38,374727,95119,6837,22046,35641,12116,7727,2817
2022-05-24T17:29:24.527601,34,61,38,374727,95119,6837,22046,35641,12116,7727,2817
2022-05-24T17:29:25.028961,119,56,51,1922743,115155,63128,6035,10202,20077,23467,1680
2022-05-24T17:29:25.530317,-72,56,51,1922743,115155,63128,6035,10202,20077,23467,1680
2022-05-24T17:29:26.031695,377,61,43,405330,35307,19821,33819,42385,10451,11029,2918
2022-05-24T17:29:26.532973,203,61,43,405330,35307,19821,33819,42385,10451,11029,2918
2022-05-24T17:29:27.033839,309,75,41,1391837,47713,17911,6426,16498,32193,8809,1820
2022-05-24T17:29:27.535148,648,75,41,1391837,47713,17911,6426,16498,32193,8809,1820
2022-05-24T17:29:28.036482,-52,83,44,781320,63272,14012,9179,3957,16395,12592,2474
2022-05-24T17:29:28.537777,-316,83,44,781320,63272,14012,9179,3957,16395,12592,2474
2022-05-24T17:29:29.039390,-150,88,47,413795,31324,17646,17954,16118,12098,5783,957
2022-05-24T17:29:29.540812,-262,88,47,413795,31324,17646,17954,16118,12098,5783,957
2022-05-24T17:29:30.042043,-216,87,26,24358,26807,4049,754,7011,3742,3203,763
2022-05-24T17:29:30.543370,-219,87,26,24358,26807,4049,754,7011,3742,3203,763
2022-05-24T17:29:31.044621,-188,67,26,380290,71456,13720,5925,10184,6876,10984,2034
2022-05-24T17:29:31.545951,-72,67,26,380290,71456,13720,5925,10184,6876,10984,2034
2022-05-24T17:29:32.047239,-77,54,29,1341301,55733,11733,15152,12116,5181,10987,1225
2022-05-24T17:29:32.548597,214,54,29,1341301,55733,11733,15152,12116,5181,10987,1225
2022-05-24T17:29:33.049996,372,38,17,1072373,334633,59691,36828,54729,14268,20654,9761
2022-05-24T17:29:33.551245,210,38,17,1072373,334633,59691,36828,54729,14268,20654,9761
2022-05-24T17:29:34.052502,293,38,17,1429151,64396,13310,13254,35020,11047,12049,8495
2022-05-24T17:29:34.553803,106,38,17,1429151,64396,13310,13254,35020,11047,12049,8495
2022-05-24T17:29:35.055165,153,20,20,119106,40142,4614,1340,3433,853,3084,339
2022-05-24T17:29:35.556463,-132,20,20,119106,40142,4614,1340,3433,853,3084,339
2022-05-24T17:29:36.057695,-189,27,23,1682585,49323,5325,19769,10373,13856,11048,889
2022-05-24T17:29:36.558952,-354,27,23,1682585,49323,5325,19769,10373,13856,11048,889
2022-05-24T17:29:37.060222,-193,27,20,190895,53189,9183,11217,11377,4246,4154,1072
2022-05-24T17:29:37.561413,69,27,20,190895,53189,9183,11217,11377,4246,4154,1072
2022-05-24T17:29:38.062714,352,37,21,2005584,49281,18073,5255,31881,5163,14486,1076
2022-05-24T17:29:38.565129,392,37,21,2005584,49281,18073,5255,31881,5163,14486,1076
2022-05-24T17:29:39.066963,288,66,14,88789,8659,2092,178,16779,3439,2641,1118
2022-05-24T17:29:39.568276,69,66,14,88789,8659,2092,178,16779,3439,2641,1118
2022-05-24T17:29:40.069496,114,63,10,331569,11180,3038,1849,7515,1913,2009,243
2022-05-24T17:29:40.570761,1451,63,10,331569,11180,3038,1849,7515,1913,2009,243
2022-05-24T17:29:41.072016,81,60,10,1075939,240114,27436,50379,39923,13566,11061,4363
2022-05-24T17:29:41.573281,996,60,10,1075939,240114,27436,50379,39923,13566,11061,4363
2022-05-24T17:29:42.074597,-114,60,10,1901689,84707,9334,44749,25062,38315,3350,1303
2022-05-24T17:29:42.575814,-45,60,10,1901689,84707,9334,44749,25062,38315,3350,1303
2022-05-24T17:29:43.077011,-136,60,10,3140128,194654,121145,125664,196225,121016,19894,6969
2022-05-24T17:29:43.578226,439,60,10,3140128,194654,121145,125664,196225,121016,19894,6969
2022-05-24T17:29:44.079407,449,60,10,1493373,49317,30130,12866,9857,5440,1769,556
2022-05-24T17:29:44.580686,231,60,10,1493373,49317,30130,12866,9857,5440,1769,556
2022-05-24T17:29:45.082005,157,60,10,1152778,23662,5354,2860,2041,4985,5593,897
2022-05-24T17:29:45.583295,12,60,10,1152778,23662,5354,2860,2041,4985,5593,897
2022-05-24T17:29:46.084722,-136,74,4,740236,65679,10085,10138,17187,22188,18856,5353
2022-05-24T17:29:46.586084,-258,74,4,740236,65679,10085,10138,17187,22188,18856,5353
2022-05-24T17:29:47.087734,-410,70,26,353820,9374,3268,3144,1246,4112,3124,902
2022-05-24T17:29:47.589054,-276,70,26,353820,9374,3268,3144,1246,4112,3124,902
2022-05-24T17:29:48.090270,-122,81,35,363624,12382,6743,6072,7265,8345,2322,218
2022-05-24T17:29:48.591501,56,81,35,363624,12382,6743,6072,7265,8345,2322,218
2022-05-24T17:29:49.092885,281,81,35,806233,41394,9396,5507,6385,4798,4557,432
2022-05-24T17:29:49.593842,437,81,35,806233,41394,9396,5507,6385,4798,4557,432
2022-05-24T17:29:50.095070,550,100,26,406661,22664,4655,3896,31243,19160,10924,1067
2022-05-24T17:29:50.596347,325,100,26,406661,22664,4655,3896,31243,19160,10924,1067
2022-05-24T17:29:51.098129,298,100,35,2999364,68590,43362,5860,30657,27583,15777,2730
2022-05-24T17:29:51.599423,-1,100,35,2999364,68590,43362,5860,30657,27583,15777,2730
2022-05-24T17:29:52.100648,-105,100,40,2032924,65394,56603,8072,21332,17449,16410,3092
2022-05-24T17:29:52.601928,-418,100,40,2032924,65394,56603,8072,21332,17449,16410,3092
2022-05-24T17:29:53.103154,-362,100,40,333887,41393,17688,5514,11242,4857,9056,1747
2022-05-24T17:29:53.604438,-171,100,40,333887,41393,17688,5514,11242,4857,9056,1747
2022-05-24T17:29:54.106264,26,96,20,1352967,101602,5589,8494,20223,25232,8501,957
2022-05-24T17:29:54.608145,284,96,20,1352967,101602,5589,8494,20223,25232,8501,957
2022-05-24T17:29:55.109343,-1832,84,34,1879931,67557,42069,11775,46217,25682,17007,1716
2022-05-24T17:29:55.611008,215,84,34,1879931,67557,42069,11775,46217,25682,17007,1716
2022-05-24T17:29:56.112216,385,84,34,336297,57361,2589,8376,25506,9267,4475,1220
